Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622880,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.07%,"91.46MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622880,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.10%,"209MiB / 15.48GiB",1.32%,"82.4MB / 744kB","0B / 0B",29
1740622880,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,1.40%,"864.7MiB / 15.48GiB",5.46%,"746kB / 82.4MB","0B / 0B",230
1740622880,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.11%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622891,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.2kB / 0B","0B / 0B",18
1740622891,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.10%,"91.46MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622891,ed298524516e,reverse-proxy-agent-1,ed298524516e,8.90%,"217.3MiB / 15.48GiB",1.37%,"82.4MB / 752kB","0B / 0B",29
1740622891,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,0.47%,"865.4MiB / 15.48GiB",5.46%,"754kB / 82.4MB","0B / 0B",233
1740622891,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.05%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
1740622903,6314788638ac,reverse-proxy-cache-1,6314788638ac,0.00%,"13.97MiB / 20MiB",69.86%,"1.2kB / 0B","0B / 0B",18
1740622903,af762eb3befa,reverse-proxy-lb-1,af762eb3befa,0.06%,"91.61MiB / 15.48GiB",0.58%,"1.35kB / 0B","0B / 0B",40
1740622903,ed298524516e,reverse-proxy-agent-1,ed298524516e,0.16%,"217.4MiB / 15.48GiB",1.37%,"82.4MB / 763kB","0B / 0B",32
1740622903,0d143fae543e,reverse-proxy-controller-1,0d143fae543e,0.83%,"866.2MiB / 15.48GiB",5.47%,"765kB / 82.4MB","0B / 0B",229
1740622903,ac343d2d2902,reverse-proxy-api-1,ac343d2d2902,0.05%,"44.24MiB / 60MiB",73.74%,"1.55kB / 0B","0B / 0B",5
