2025-03-06 15:25:55,1,206452,4,206452,4,206452,4,0,1,0
2025-03-06 15:26:03,1,4,4,4,0,1,0
2025-03-06 15:26:05,1,206456,4,206456,4,206456,4,0,1,0
2025-03-06 15:26:13,1,4,4,4,0,1,0
2025-03-06 15:26:15,1,206460,4,206460,4,206460,4,0,1,0
2025-03-06 15:26:23,1,4,4,4,0,1,0
2025-03-06 15:26:25,1,206464,4,206464,4,206464,4,0,1,0
2025-03-06 15:26:31,1,4,4,4,0,1,0
2025-03-06 15:26:32,1,206468,4,206468,4,206468,4,0,1,0
2025-03-06 15:26:41,1,4,4,4,0,1,0
2025-03-06 15:26:42,1,206472,4,206472,4,206472,4,0,1,0
2025-03-06 15:26:51,1,4,4,4,0,1,0
2025-03-06 15:26:52,1,206476,4,206476,4,206476,4,0,1,0
2025-03-06 15:26:58,1,4,4,4,0,1,0
2025-03-06 15:27:00,1,206480,4,206480,4,206480,4,0,1,0
2025-03-06 15:27:08,1,4,4,4,0,1,0
2025-03-06 15:27:10,1,206484,4,206484,4,206484,4,0,1,0
2025-03-06 15:27:18,1,4,4,4,0,1,0
2025-03-06 15:27:20,1,206488,4,206488,4,206488,4,0,1,0
2025-03-06 15:27:26,1,4,4,4,0,1,0
2025-03-06 15:27:27,1,206492,4,206492,4,206492,4,0,1,0
2025-03-06 15:27:36,1,4,4,4,0,1,0
2025-03-06 15:27:37,1,206496,4,206496,4,206496,4,0,1,0
2025-03-06 15:27:46,1,4,4,4,0,1,0
2025-03-06 15:27:47,1,206500,4,206500,4,206500,4,0,1,0
2025-03-06 15:27:53,1,4,4,4,0,1,0
2025-03-06 15:27:55,1,206504,4,206504,4,206504,4,0,1,0
2025-03-06 15:28:03,1,4,4,4,0,1,0
2025-03-06 15:28:05,1,206508,4,206508,4,206508,4,0,1,0
2025-03-06 15:28:13,1,4,4,4,0,1,0
2025-03-06 15:28:15,1,206512,4,206512,4,206512,4,0,1,0
2025-03-06 15:28:23,1,4,4,4,0,1,0
2025-03-06 15:28:22,1,206516,4,206516,4,206516,4,0,1,0
2025-03-06 15:28:31,1,4,4,4,0,1,0
2025-03-06 15:28:32,1,206520,4,206520,4,206520,4,0,1,0
2025-03-06 15:28:41,1,4,4,4,0,1,0
2025-03-06 15:28:43,1,206524,4,206524,4,206524,4,0,1,0
2025-03-06 15:28:51,1,4,4,4,0,1,0
2025-03-06 15:28:53,1,206528,4,206528,4,206528,4,0,1,0
2025-03-06 15:28:58,1,4,4,4,0,1,0
2025-03-06 15:29:00,1,206532,4,206532,4,206532,4,0,1,0
2025-03-06 15:29:08,1,4,4,4,0,1,0
2025-03-06 15:29:10,1,206536,4,206536,4,206536,4,0,1,0
2025-03-06 15:29:18,1,4,4,4,0,1,0
2025-03-06 15:29:20,1,206540,4,206540,4,206540,4,0,1,0
2025-03-06 15:29:26,1,4,4,4,0,1,0
2025-03-06 15:29:28,1,206544,4,206544,4,206544,4,0,1,0
2025-03-06 15:29:36,1,4,4,4,0,1,0
2025-03-06 15:29:38,1,206548,4,206548,4,206548,4,0,1,0
2025-03-06 15:29:46,1,4,4,4,0,1,0
2025-03-06 15:29:48,1,206552,4,206552,4,206552,4,0,1,0
2025-03-06 15:29:54,1,4,4,4,0,1,0
2025-03-06 15:29:55,1,206556,4,206556,4,206556,4,0,1,0
2025-03-06 15:30:04,1,4,4,4,0,1,0
2025-03-06 15:30:05,1,206560,4,206560,4,206560,4,0,1,0
2025-03-06 15:30:14,1,4,4,4,0,1,0
2025-03-06 15:30:15,1,206564,4,206564,4,206564,4,0,1,0
2025-03-06 15:30:24,1,4,4,4,0,1,0
2025-03-06 15:30:23,1,206568,4,206568,4,206568,4,0,1,0
2025-03-06 15:30:31,1,4,4,4,0,1,0
2025-03-06 15:30:33,1,206572,4,206572,4,206572,4,0,1,0
2025-03-06 15:30:41,1,4,4,4,0,1,0
2025-03-06 15:30:43,1,206576,4,206576,4,206576,4,0,1,0
2025-03-06 15:30:51,1,4,4,4,0,1,0
2025-03-06 15:30:53,1,206580,4,206580,4,206580,4,0,1,0
2025-03-06 15:30:59,1,4,4,4,0,1,0
2025-03-06 15:31:00,1,206584,4,206584,4,206584,4,0,1,0
2025-03-06 15:31:09,1,4,4,4,0,1,0
2025-03-06 15:31:10,1,206588,4,206588,4,206588,4,0,1,0
2025-03-06 15:31:19,1,4,4,4,0,1,0
2025-03-06 15:31:20,1,206592,4,206592,4,206592,4,0,1,0
2025-03-06 15:31:26,1,4,4,4,0,1,0
2025-03-06 15:31:28,1,206596,4,206596,4,206596,4,0,1,0
2025-03-06 15:31:36,1,4,4,4,0,1,0
2025-03-06 15:31:38,1,206600,4,206600,4,206600,4,0,1,0
2025-03-06 15:31:46,1,4,4,4,0,1,0
2025-03-06 15:31:48,1,206604,4,206604,4,206604,4,0,1,0
2025-03-06 15:31:54,1,4,4,4,0,1,0
2025-03-06 15:31:55,1,206608,4,206608,4,206608,4,0,1,0
2025-03-06 15:32:04,1,4,4,4,0,1,0
2025-03-06 15:32:06,1,206612,4,206612,4,206612,4,0,1,0
2025-03-06 15:32:14,1,4,4,4,0,1,0
2025-03-06 15:32:16,1,206616,4,206616,4,206616,4,0,1,0
2025-03-06 15:32:24,1,4,4,4,0,1,0
2025-03-06 15:32:23,1,206620,4,206620,4,206620,4,0,1,0
2025-03-06 15:32:31,1,4,4,4,0,1,0
2025-03-06 15:32:33,1,206624,4,206624,4,206624,4,0,1,0
2025-03-06 15:32:41,1,4,4,4,0,1,0
2025-03-06 15:32:43,1,206628,4,206628,4,206628,4,0,1,0
2025-03-06 15:32:51,1,4,4,4,0,1,0
2025-03-06 15:32:53,1,206632,4,206632,4,206632,4,0,1,0
2025-03-06 15:32:59,1,4,4,4,0,1,0
2025-03-06 15:33:01,1,206636,4,206636,4,206636,4,0,1,0
2025-03-06 15:33:09,1,4,4,4,0,1,0
2025-03-06 15:33:11,1,206640,4,206640,4,206640,4,0,1,0
2025-03-06 15:33:19,1,4,4,4,0,1,0
2025-03-06 15:33:21,1,206644,4,206644,4,206644,4,0,1,0
2025-03-06 15:33:27,1,4,4,4,0,1,0
2025-03-06 15:33:28,1,206648,4,206648,4,206648,4,0,1,0
2025-03-06 15:33:37,1,4,4,4,0,1,0
2025-03-06 15:33:38,1,206652,4,206652,4,206652,4,0,1,0
2025-03-06 15:33:47,1,4,4,4,0,1,0
2025-03-06 15:33:48,1,206656,4,206656,4,206656,4,0,1,0
2025-03-06 15:33:54,1,4,4,4,0,1,0
2025-03-06 15:33:56,1,206660,4,206660,4,206660,4,0,1,0
2025-03-06 15:34:04,1,4,4,4,0,1,0
2025-03-06 15:34:06,1,206664,4,206664,4,206664,4,0,1,0
2025-03-06 15:34:14,1,4,4,4,0,1,0
2025-03-06 15:34:16,1,206668,4,206668,4,206668,4,0,1,0
2025-03-06 15:34:24,1,4,4,4,0,1,0
2025-03-06 15:34:23,1,206672,4,206672,4,206672,4,0,1,0
2025-03-06 15:34:32,1,4,4,4,0,1,0
2025-03-06 15:34:33,1,206676,4,206676,4,206676,4,0,1,0
2025-03-06 15:34:42,1,4,4,4,0,1,0
2025-03-06 15:34:43,1,206680,4,206680,4,206680,4,0,1,0
2025-03-06 15:34:52,1,4,4,4,0,1,0
2025-03-06 15:34:53,1,206684,4,206684,4,206684,4,0,1,0
2025-03-06 15:34:59,1,4,4,4,0,1,0
2025-03-06 15:35:01,1,206688,4,206688,4,206688,4,0,1,0
2025-03-06 15:35:09,1,4,4,4,0,1,0
2025-03-06 15:35:11,1,206692,4,206692,4,206692,4,0,1,0
2025-03-06 15:35:19,1,4,4,4,0,1,0
2025-03-06 15:35:21,1,206696,4,206696,4,206696,4,0,1,0
2025-03-06 15:35:27,1,4,4,4,0,1,0
